image name,AP,AP50,AP75,APsmall,APmedium,APlarge,AR1,AR10,AR100,ARsmall,ARmedium,ARlarge
21.txt,0.3,1.0,0.0,-1,0.3,-1,0.3,0.3,0.3,-1,0.3,-1
211.txt,0.7,1.0,1.0,-1,-1,0.7,0.7,0.7,0.7,-1,-1,0.7
212.txt,0.42524752475247524,1.0,0.0,-1,0.42524752475247524,-1,0.2,0.45,0.45,-1,0.45,-1
213.txt,0.304950495049505,0.40594059405940597,0.40594059405940597,-1,0.304950495049505,-1,0.14,0.32,0.32,-1,0.32,-1
214.txt,0.31716171617161715,0.6039603960396039,0.2079207920792079,0.0,0.39471947194719476,-1,0.14,0.32,0.32,0.0,0.4,-1
215.txt,0.35346534653465345,0.504950495049505,0.504950495049505,-1,0.35346534653465345,-1,0.175,0.35,0.35,-1,0.35,-1
216.txt,0.35346534653465345,0.504950495049505,0.504950495049505,-1,0.35346534653465345,-1,0.35,0.35,0.35,-1,0.35,-1
217.txt,0.403960396039604,0.504950495049505,0.504950495049505,0.0,0.8,-1,0.4,0.4,0.4,0.0,0.8,-1
218.txt,0.5349009900990099,0.6905940594059405,0.6905940594059405,-1,0.35346534653465345,0.8009900990099009,0.225,0.575,0.575,-1,0.35,0.8
219.txt,0.2524752475247525,0.504950495049505,0.0,0.0,0.5,-1,0.25,0.25,0.25,0.0,0.5,-1
22.txt,0.8,1.0,1.0,-1,-1,0.8,0.8,0.8,0.8,-1,-1,0.8
220.txt,0.15148514851485148,0.504950495049505,0.0,0.0,0.3,-1,0.15,0.15,0.15,0.0,0.3,-1
221.txt,0.6336633663366337,1.0,1.0,-1,0.6,0.8,0.2,0.6666666666666666,0.6666666666666666,-1,0.6,0.8
222.txt,0.6252475247524752,1.0,1.0,-1,0.6252475247524752,-1,0.3,0.65,0.65,-1,0.65,-1
223.txt,0.7,1.0,1.0,-1,-1,0.7,0.7,0.7,0.7,-1,-1,0.7
224.txt,0.7,1.0,1.0,-1,-1,0.7,0.7,0.7,0.7,-1,-1,0.7
225.txt,0.300990099009901,0.6633663366336634,0.33663366336633666,0.0,0.2,0.7,0.2333333333333333,0.3,0.3,0.0,0.2,0.7
226.txt,0.6,1.0,0.5544554455445546,-1,0.4757425742574258,0.8,0.26666666666666666,0.6333333333333333,0.6333333333333333,-1,0.55,0.8
